2022-10-01 19:31:40 startup archives unpack
2022-10-01 19:31:40 upgrade libnss-systemd:amd64 245.4-4ubuntu3.17 245.4-4ubuntu3.18
2022-10-01 19:31:40 status triggers-pending libc-bin:amd64 2.31-0ubuntu9.9
2022-10-01 19:31:40 status half-configured libnss-systemd:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:40 status unpacked libnss-systemd:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:40 status half-installed libnss-systemd:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:40 status triggers-pending man-db:amd64 2.9.1-1
2022-10-01 19:31:40 status unpacked libnss-systemd:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:40 upgrade udev:amd64 245.4-4ubuntu3.17 245.4-4ubuntu3.18
2022-10-01 19:31:40 status half-configured udev:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:40 status unpacked udev:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:40 status half-installed udev:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:40 status triggers-pending systemd:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:40 status unpacked udev:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:40 upgrade libudev1:amd64 245.4-4ubuntu3.17 245.4-4ubuntu3.18
2022-10-01 19:31:40 status half-configured libudev1:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:40 status unpacked libudev1:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:40 status half-installed libudev1:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:40 status unpacked libudev1:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:40 startup packages configure
2022-10-01 19:31:40 configure libudev1:amd64 245.4-4ubuntu3.18 <none>
2022-10-01 19:31:40 status unpacked libudev1:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:40 status half-configured libudev1:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:40 status installed libudev1:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:40 startup archives unpack
2022-10-01 19:31:41 upgrade systemd-sysv:amd64 245.4-4ubuntu3.17 245.4-4ubuntu3.18
2022-10-01 19:31:41 status half-configured systemd-sysv:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:41 status unpacked systemd-sysv:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:41 status half-installed systemd-sysv:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:41 status unpacked systemd-sysv:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:41 upgrade libpam-systemd:amd64 245.4-4ubuntu3.17 245.4-4ubuntu3.18
2022-10-01 19:31:41 status half-configured libpam-systemd:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:41 status unpacked libpam-systemd:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:41 status half-installed libpam-systemd:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:41 status unpacked libpam-systemd:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:41 upgrade systemd:amd64 245.4-4ubuntu3.17 245.4-4ubuntu3.18
2022-10-01 19:31:41 status half-configured systemd:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:41 status unpacked systemd:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:41 status half-installed systemd:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:41 status triggers-pending dbus:amd64 1.12.16-2ubuntu2.2
2022-10-01 19:31:42 status unpacked systemd:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:42 upgrade libsystemd0:amd64 245.4-4ubuntu3.17 245.4-4ubuntu3.18
2022-10-01 19:31:42 status half-configured libsystemd0:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:42 status unpacked libsystemd0:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:42 status half-installed libsystemd0:amd64 245.4-4ubuntu3.17
2022-10-01 19:31:42 status unpacked libsystemd0:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:42 startup packages configure
2022-10-01 19:31:42 configure libsystemd0:amd64 245.4-4ubuntu3.18 <none>
2022-10-01 19:31:42 status unpacked libsystemd0:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:42 status half-configured libsystemd0:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:42 status installed libsystemd0:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:42 startup packages configure
2022-10-01 19:31:42 configure systemd:amd64 245.4-4ubuntu3.18 <none>
2022-10-01 19:31:42 status unpacked systemd:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:42 status half-configured systemd:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:43 status installed systemd:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:43 configure udev:amd64 245.4-4ubuntu3.18 <none>
2022-10-01 19:31:43 status unpacked udev:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:43 status half-configured udev:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:44 status installed udev:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:44 status triggers-pending initramfs-tools:all 0.136ubuntu6.7
2022-10-01 19:31:44 configure systemd-sysv:amd64 245.4-4ubuntu3.18 <none>
2022-10-01 19:31:44 status unpacked systemd-sysv:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:44 status half-configured systemd-sysv:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:44 status installed systemd-sysv:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:44 configure libnss-systemd:amd64 245.4-4ubuntu3.18 <none>
2022-10-01 19:31:44 status unpacked libnss-systemd:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:44 status half-configured libnss-systemd:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:44 status installed libnss-systemd:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:44 configure libpam-systemd:amd64 245.4-4ubuntu3.18 <none>
2022-10-01 19:31:44 status unpacked libpam-systemd:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:44 status half-configured libpam-systemd:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:45 status installed libpam-systemd:amd64 245.4-4ubuntu3.18
2022-10-01 19:31:45 trigproc man-db:amd64 2.9.1-1 <none>
2022-10-01 19:31:45 status half-configured man-db:amd64 2.9.1-1
2022-10-01 19:31:47 status installed man-db:amd64 2.9.1-1
2022-10-01 19:31:47 trigproc dbus:amd64 1.12.16-2ubuntu2.2 <none>
2022-10-01 19:31:47 status half-configured dbus:amd64 1.12.16-2ubuntu2.2
2022-10-01 19:31:47 status installed dbus:amd64 1.12.16-2ubuntu2.2
2022-10-01 19:31:47 trigproc libc-bin:amd64 2.31-0ubuntu9.9 <none>
2022-10-01 19:31:47 status half-configured libc-bin:amd64 2.31-0ubuntu9.9
2022-10-01 19:31:47 status installed libc-bin:amd64 2.31-0ubuntu9.9
2022-10-01 19:31:47 trigproc initramfs-tools:all 0.136ubuntu6.7 <none>
2022-10-01 19:31:47 status half-configured initramfs-tools:all 0.136ubuntu6.7
2022-10-01 19:31:57 status installed initramfs-tools:all 0.136ubuntu6.7
2022-10-06 06:06:16 startup archives unpack
2022-10-06 06:06:16 upgrade isc-dhcp-common:amd64 4.4.1-2.1ubuntu5.20.04.3 4.4.1-2.1ubuntu5.20.04.4
2022-10-06 06:06:16 status half-configured isc-dhcp-common:amd64 4.4.1-2.1ubuntu5.20.04.3
2022-10-06 06:06:16 status unpacked isc-dhcp-common:amd64 4.4.1-2.1ubuntu5.20.04.3
2022-10-06 06:06:16 status half-installed isc-dhcp-common:amd64 4.4.1-2.1ubuntu5.20.04.3
2022-10-06 06:06:16 status triggers-pending man-db:amd64 2.9.1-1
2022-10-06 06:06:16 status unpacked isc-dhcp-common:amd64 4.4.1-2.1ubuntu5.20.04.4
2022-10-06 06:06:16 startup packages configure
2022-10-06 06:06:16 configure isc-dhcp-common:amd64 4.4.1-2.1ubuntu5.20.04.4 <none>
2022-10-06 06:06:16 status unpacked isc-dhcp-common:amd64 4.4.1-2.1ubuntu5.20.04.4
2022-10-06 06:06:16 status half-configured isc-dhcp-common:amd64 4.4.1-2.1ubuntu5.20.04.4
2022-10-06 06:06:16 status installed isc-dhcp-common:amd64 4.4.1-2.1ubuntu5.20.04.4
2022-10-06 06:06:16 trigproc man-db:amd64 2.9.1-1 <none>
2022-10-06 06:06:16 status half-configured man-db:amd64 2.9.1-1
2022-10-06 06:06:16 status installed man-db:amd64 2.9.1-1
2022-10-06 06:06:18 startup archives unpack
2022-10-06 06:06:18 upgrade isc-dhcp-client:amd64 4.4.1-2.1ubuntu5.20.04.3 4.4.1-2.1ubuntu5.20.04.4
2022-10-06 06:06:18 status half-configured isc-dhcp-client:amd64 4.4.1-2.1ubuntu5.20.04.3
2022-10-06 06:06:18 status unpacked isc-dhcp-client:amd64 4.4.1-2.1ubuntu5.20.04.3
2022-10-06 06:06:18 status half-installed isc-dhcp-client:amd64 4.4.1-2.1ubuntu5.20.04.3
2022-10-06 06:06:19 status triggers-pending man-db:amd64 2.9.1-1
2022-10-06 06:06:19 status unpacked isc-dhcp-client:amd64 4.4.1-2.1ubuntu5.20.04.4
2022-10-06 06:06:19 startup packages configure
2022-10-06 06:06:19 configure isc-dhcp-client:amd64 4.4.1-2.1ubuntu5.20.04.4 <none>
2022-10-06 06:06:19 status unpacked isc-dhcp-client:amd64 4.4.1-2.1ubuntu5.20.04.4
2022-10-06 06:06:19 status half-configured isc-dhcp-client:amd64 4.4.1-2.1ubuntu5.20.04.4
2022-10-06 06:06:19 status installed isc-dhcp-client:amd64 4.4.1-2.1ubuntu5.20.04.4
2022-10-06 06:06:19 trigproc man-db:amd64 2.9.1-1 <none>
2022-10-06 06:06:19 status half-configured man-db:amd64 2.9.1-1
2022-10-06 06:06:19 status installed man-db:amd64 2.9.1-1
2022-10-11 06:14:52 startup archives unpack
2022-10-11 06:14:52 install linux-modules-5.15.0-1021-azure:amd64 <none> 5.15.0-1021.26~20.04.1
2022-10-11 06:14:52 status half-installed linux-modules-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:14:55 status unpacked linux-modules-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:14:55 install linux-image-5.15.0-1021-azure:amd64 <none> 5.15.0-1021.26~20.04.1
2022-10-11 06:14:55 status half-installed linux-image-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:14:55 status unpacked linux-image-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:14:55 upgrade linux-azure:amd64 5.15.0.1020.25~20.04.13 5.15.0.1021.26~20.04.14
2022-10-11 06:14:55 status half-configured linux-azure:amd64 5.15.0.1020.25~20.04.13
2022-10-11 06:14:55 status unpacked linux-azure:amd64 5.15.0.1020.25~20.04.13
