system,path,name,size,attrhex,attrstr,created,accessed,modified,companyname,filedescription,fileversion,internalname,legalcopyright,originalfilename,productname,productversion,cert_exists,cert_verified,cert_result,cert_comment,cert_signer,cert_type,md5,sha1,sha256
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","InkDiv.dll","367616","0x20","ARCHIVE","2022-08-05T09:27:31Z","2022-10-15T03:11:20Z","2022-08-05T09:27:31Z","Microsoft Corporation","Microsoft Tablet PC Ink Divider Platform Component","10.0.19041.1586 (WinBuild.160101.0800)","InkDiv.dll","&#169; Microsoft Corporation. All rights reserved.","InkDiv.dll","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1586","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","d13f1a2ad484e065ac9a0ae8ec74c1f1","dc93d9d9c3817e315aafad9319e2121a493f2ea2","9e2b87c2d7afd4c3e25b24826adcd97fc525e8d46f27718e63565be6a277151f"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","InkObj.dll","1979392","0x20","ARCHIVE","2022-08-05T09:27:31Z","2022-10-15T03:11:18Z","2022-08-05T09:27:31Z","Microsoft Corporation","Microsoft Tablet PC Ink Platform Component","10.0.19041.1 (WinBuild.160101.0800)","InkObj.dll","&#169; Microsoft Corporation. All rights reserved.","InkObj.dll.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","ee495ad2fed7e982a7b8f6045e3d0149","618c3afafbd7f86d7ae5fd8eacecd121b3754b2d","c3e3e9d235d473c90c28914d866754bc59d690e91316e5c549ce5b8169baebec"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","InputPersonalization.exe","383488","0x20","ARCHIVE","2022-08-05T09:28:05Z","2022-10-17T04:58:26Z","2022-08-05T09:28:05Z","Microsoft Corporation","Input Personalization Server","10.0.19041.1 (WinBuild.160101.0800)","InputPersonalization.exe","&#169; Microsoft Corporation. All rights reserved.","InputPersonalization.exe.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","40762f8f66455ad22ccb02e0df3bd79f","7a90fdc9b1209d6d92f1153278331ad9b9f97496","add4d8bbc19ee38b5bb9390b03d7588042946e91b94ff98a6e6a1b9f7cb0d436"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","IpsMigrationPlugin.dll","43520","0x20","ARCHIVE","2022-08-05T09:28:05Z","2022-09-11T20:50:26Z","2022-08-05T09:28:05Z","Microsoft Corporation","Input Personalization Settings Migration Plugin","10.0.19041.746 (WinBuild.160101.0800)","IpsMigrationPlugin.dll","&#169; Microsoft Corporation. All rights reserved.","IpsMigrationPlugin.dll","Microsoft&#174; Windows&#174; Operating System","10.0.19041.746","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","c95288473fb52b55002e43b0fe6bceee","6910db1678422ea98443f5dc682a97fd8d59355d","6c8fb3cb78c5adad651872c81947eb0333d28d3d337adc4f968333248e36d7a6"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","IpsPlugin.dll","131584","0x20","ARCHIVE","2022-08-05T09:28:05Z","2022-10-15T11:29:53Z","2022-08-05T09:28:05Z","Microsoft Corporation","Input Personalization Search Plugin","10.0.19041.746 (WinBuild.160101.0800)","IpsPlugin.dll","&#169; Microsoft Corporation. All rights reserved.","IpsPlugin.dll","Microsoft&#174; Windows&#174; Operating System","10.0.19041.746","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","585b49675f136e2de9ff1cbe1acda37a","ab6e4891b2f905dc6bceeb90411a2ce83c19456a","7fb62044bb1527be05e4495efec144604489f3faa5732dfb901ad155b1e22ca0"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","micaut.dll","1711616","0x20","ARCHIVE","2022-08-05T09:28:34Z","2022-09-11T20:50:27Z","2022-08-05T09:28:34Z","Microsoft Corporation","Math Input Control","10.0.19041.1 (WinBuild.160101.0800)","micaut.dll","&#169; Microsoft Corporation. All rights reserved.","micaut.dll.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","fc0b826831bd409b20cc5d025418ce65","b1ce45bb78598e72e08052263c3c601eb1d15e2e","ded44255f63674a18339a9d8db18eac459dbaf0ecd999bd04e783385c08d09db"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","Microsoft.Ink.dll","503808","0x20","ARCHIVE","2022-08-05T09:28:05Z","2022-10-12T11:11:09Z","2022-08-05T09:28:05Z","Microsoft Corporation","Microsoft Tablet PC API","10.0.19041.868","Microsoft.Ink.dll","Copyright (c) Microsoft Corporation. All rights reserved.","Microsoft.Ink.dll","Microsoft (R) Windows (R) Operating System","10.0.19041.868","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","98cee5ba5744aed96fefa8a5333a2656","27bb35d31da57921cf983ef5361d0c2e6719bb11","20ae6054b3e68e2e080c58185f8a93d911441f56b9150914a59e16f7b1a091e8"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","mip.exe","1551360","0x20","ARCHIVE","2022-08-05T09:28:34Z","2022-10-18T03:11:26Z","2022-08-05T09:28:34Z","Microsoft Corporation","Math Input Panel Accessory","10.0.19041.1 (WinBuild.160101.0800)","mip.exe","&#169; Microsoft Corporation. All rights reserved.","mip.exe.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","f71808f39b38285c22f808e88199c376","228d494623b62e45d7dad3c9a0b21c6aef4a0d2c","b56735766e2a0561405efdcfd8f9cef1c53f4bc82d773bb910733abec7e5ea6d"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","mraut.dll","6372864","0x20","ARCHIVE","2022-08-05T09:28:34Z","2022-09-17T20:49:17Z","2022-08-05T09:28:34Z","Microsoft Corporation","Math Recognizer","10.0.19041.746 (WinBuild.160101.0800)","mraut.dll","&#169; Microsoft Corporation. All rights reserved.","mraut.dll","Microsoft&#174; Windows&#174; Operating System","10.0.19041.746","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","b67e68a7d20cbb7f5a194fd4772706a9","db4f90d7a137d43ca883bd0fc9757970d6233ec9","d0c813d5b429067a30f33fe127c2f9a3d60f32be4f90b9789254e16459a7b6f5"
"CrowdResponse","C:\Program Files\Common Files\microsoft shared\ink\","mshwgst.dll","69120","0x20","ARCHIVE","2019-12-07T09:09:47Z","2022-09-26T03:07:41Z","2019-12-07T09:09:47Z","Microsoft Corporation","Microsoft Gesture Recognizer","10.0.19041.1 (WinBuild.160101.0800)","MSHWGST.DLL","&#169; Microsoft Corporation. All rights reserved.","MSHWGST.DLL","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","2e41d44fb0d492918ab805984e1179e8","7a2675f4a43647b1a5f715fe11afaf515ded2c25","14d72bad50ab65df769d1bd68a6f370df062d1195810ea7369d0f0253e772346"
