system,driver_file,driver_base,path,name,size,attrhex,attrstr,created,accessed,modified,companyname,filedescription,fileversion,internalname,legalcopyright,originalfilename,productname,productversion,cert_exists,cert_verified,cert_result,cert_comment,cert_signer,cert_type,md5,sha1,sha256
"CrowdResponse","\SystemRoot\system32\ntoskrnl.exe","0xFFFFF8071BE00000","C:\Windows\system32\","ntoskrnl.exe","10846592","0x20","ARCHIVE","2022-10-12T02:46:02Z","2022-10-18T15:05:04Z","2022-10-12T02:46:03Z","Microsoft Corporation","NT Kernel & System","10.0.19041.2130 (WinBuild.160101.0800)","ntkrnlmp.exe","&#169; Microsoft Corporation. All rights reserved.","ntkrnlmp.exe","Microsoft&#174; Windows&#174; Operating System","10.0.19041.2130","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","33cb6a837f3e8744caea9c7bd826a969","ed5324a2b10ad1342da6332982e4c8ec4c3cd096","fc4864065d84ccb4c855f4c47afa318113c1ba81e105c2ca0a8a33b51fe72299"
"CrowdResponse","\SystemRoot\system32\hal.dll","0xFFFFF807196A0000","C:\Windows\system32\","hal.dll","18288","0x20","ARCHIVE","2022-08-05T09:27:16Z","2022-10-18T15:04:46Z","2022-08-05T09:27:16Z","Microsoft Corporation","Hardware Abstraction Layer DLL","10.0.19041.1806 (WinBuild.160101.0800)","hal.dll","&#169; Microsoft Corporation. All rights reserved.","hal.dll","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1806","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","049ba4e058b12e67629694974ecaf919","6db47294ee48e4f70a0bee4588abfe91705e754b","76d3d41dbac60991986ac888d49f6e38aeb163c4b2d74ebe1a6038b3b43afc7d"
"CrowdResponse","\SystemRoot\system32\kd.dll","0xFFFFF807196B0000","C:\Windows\system32\","kd.dll","15672","0x20","ARCHIVE","2019-12-07T09:08:49Z","2022-10-18T15:04:52Z","2019-12-07T09:08:49Z","Microsoft Corporation","Local Kernel Debugger","10.0.19041.1 (WinBuild.160101.0800)","kd.dll","&#169; Microsoft Corporation. All rights reserved.","kd.dll","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","8b1596c15c53ee3cd3c9b3cb17518195","502e5bbd4059be4d0368dc073e20f628411c0aab","9785dabded2d3d2b18790ea7ab4b7460088e18cff7ad4d38692d26b529784ecd"
"CrowdResponse","\SystemRoot\system32\mcupdate_GenuineIntel.dll","0xFFFFF80719410000","C:\Windows\system32\","mcupdate_GenuineIntel.dll","2629648","0x20","ARCHIVE","2019-12-07T09:08:58Z","2022-10-18T15:04:54Z","2019-12-07T09:08:58Z","Microsoft Corporation","Intel Microcode Update Library","10.0.19041.1 (WinBuild.160101.0800)","mcupdate.dll","&#169; Microsoft Corporation. All rights reserved.","mcupdate_GenuineIntel.dll","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","a719a641167956699558e032468ba229","44a88f80e44f3c35d2d8e0903a7eb3d394a5f7c7","fc1b45835dbd7cd9dac6e6daae5c00de5ef8c7335206f5c08ed1188624c9478a"
"CrowdResponse","\SystemRoot\System32\drivers\CLFS.SYS","0xFFFFF807196F0000","C:\Windows\System32\drivers\","CLFS.SYS","419712","0x20","ARCHIVE","2022-10-12T02:46:03Z","2022-10-18T15:02:11Z","2022-10-12T02:46:03Z","Microsoft Corporation","Common Log File System Driver","10.0.19041.2130 (WinBuild.160101.0800)","clfs.sys","&#169; Microsoft Corporation. All rights reserved.","Clfs.Sys","Microsoft&#174; Windows&#174; Operating System","10.0.19041.2130","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","4d0c65290f99e8f10325b1651ec3730c","675019e3bdf2d8560f6ee67a4192f1f232cb01ca","7b83e1c9a5bfaf2cc052553d1eb3ca563f07ff32bc757613f424d5c887c865d5"
"CrowdResponse","\SystemRoot\System32\drivers\tm.sys","0xFFFFF807196C0000","C:\Windows\System32\drivers\","tm.sys","142136","0x20","ARCHIVE","2022-08-05T09:27:18Z","2022-10-13T03:12:04Z","2022-08-05T09:27:18Z","Microsoft Corporation","Kernel Transaction Manager Driver","10.0.19041.1202 (WinBuild.160101.0800)","tm.sys","&#169; Microsoft Corporation. All rights reserved.","tm.sys","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1202","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","d69acb8d64f8af665a623d91342ffc16","204e9ba612d512461194231c1dafe0a1bb47f6eb","8dcd473adbd59aca0093c8d2daf2bd5a8403236b6d28df3852654ab934c2f395"
"CrowdResponse","\SystemRoot\system32\PSHED.dll","0xFFFFF80719760000","C:\Windows\system32\","PSHED.dll","76600","0x20","ARCHIVE","2019-12-07T09:08:49Z","2022-10-18T15:05:08Z","2019-12-07T09:08:49Z","Microsoft Corporation","Platform Specific Hardware Error Driver","10.0.19041.1 (WinBuild.160101.0800)","pshed.dll","&#169; Microsoft Corporation. All rights reserved.","pshed.dll.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","dc61643cd353aa826f2b8df06422b266","7ec8f511717a71f692a79a27e348c6654d0d6f40","27858972c18afccd944453b72feeeba66b1587f2075087780aa4fc54202d8221"
"CrowdResponse","\SystemRoot\system32\BOOTVID.dll","0xFFFFF80719780000","C:\Windows\system32\","BOOTVID.dll","25912","0x20","ARCHIVE","2019-12-07T09:08:46Z","2022-10-18T15:04:32Z","2019-12-07T09:08:46Z","Microsoft Corporation","VGA Boot Driver","10.0.19041.1 (WinBuild.160101.0800)","bootvid.dll","&#169; Microsoft Corporation. All rights reserved.","bootvid.dll","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","3c595a15f4d7679d6c4b5fb0c4ce5885","ee0ecaedf725849dac93d4f32a4fd7ee3a448c3c","de2f4364da996c125b7b4ff6ad5e14a94f38620d9b61459a65797b8cd537b957"
"CrowdResponse","\SystemRoot\System32\drivers\FLTMGR.SYS","0xFFFFF80719790000","C:\Windows\System32\drivers\","FLTMGR.SYS","429928","0x20","ARCHIVE","2022-08-05T09:27:16Z","2022-10-18T15:02:12Z","2022-08-05T09:27:16Z","Microsoft Corporation","Microsoft Filesystem Filter Manager","10.0.19041.1 (WinBuild.160101.0800)","fltMgr.sys","&#169; Microsoft Corporation. All rights reserved.","fltMgr.sys.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","cde9e75a5a330689b0e888d2949892d1","77227711e2f33920305521d771dc93e797a01c1f","3e2e32f57bb036c6783eb373e66e323338551692d04da73eb353c0aee9d87d2b"
"CrowdResponse","\SystemRoot\System32\drivers\msrpc.sys","0xFFFFF8071EF50000","C:\Windows\System32\drivers\","msrpc.sys","376688","0x20","ARCHIVE","2022-08-05T09:27:17Z","2022-10-18T15:02:14Z","2022-08-05T09:27:17Z","Microsoft Corporation","Kernel Remote Procedure Call Provider","10.0.19041.1706 (WinBuild.160101.0800)","krpcdd.sys","&#169; Microsoft Corporation. All rights reserved.","krpcdd.sys","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1706","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","ced8ff3bbf5e7f652515d4fe1bb251eb","de424307284075a9a708332ed87dc7b1dbc19b7b","851f81cd07e043c1b173ae2d13f9ba66a510859f4ce29d0ca0767b1ba013162f"
