system,level,module,datetime,text
"CrowdResponse","info","PSList","2022-10-18T15:03:00Z","@PSList started"
"CrowdResponse","info","Main","2022-10-18T15:03:00Z","Application Start"
"CrowdResponse","info","PSList","2022-10-18T15:03:07Z","@PSList stopped. Duration 00:00:07.609"
"CrowdResponse","info","Mal","2022-10-18T15:03:07Z","@Mal started"
"CrowdResponse","info","Mal","2022-10-18T15:03:07Z","@Mal stopped. Duration 00:00:00.000"
"CrowdResponse","info","DirList","2022-10-18T15:03:07Z","@DirList started"
"CrowdResponse","info","DirList","2022-10-18T15:04:27Z","@DirList stopped. Duration 00:01:19.844"
"CrowdResponse","info","DirList","2022-10-18T15:04:27Z","@DirList started"
"CrowdResponse","info","DirList","2022-10-18T15:04:27Z","@DirList stopped. Duration 00:00:00.000"
"CrowdResponse","info","DirList","2022-10-18T15:04:27Z","@DirList started"
"CrowdResponse","info","DirList","2022-10-18T15:04:28Z","@DirList stopped. Duration 00:00:00.235"
"CrowdResponse","info","DirList","2022-10-18T15:04:28Z","@DirList started"
"CrowdResponse","info","DirList","2022-10-18T15:05:35Z","@DirList stopped. Duration 00:01:07.475"
"CrowdResponse","info","DirList","2022-10-18T15:05:35Z","@DirList started"
"CrowdResponse","info","DirList","2022-10-18T15:05:35Z","@DirList stopped. Duration 00:00:00.000"
"CrowdResponse","info","DirList","2022-10-18T15:05:35Z","@DirList started"
"CrowdResponse","info","DirList","2022-10-18T15:05:35Z","@DirList stopped. Duration 00:00:00.000"
"CrowdResponse","info","DirList","2022-10-18T15:05:35Z","@DirList started"
"CrowdResponse","info","DirList","2022-10-18T15:05:35Z","@DirList stopped. Duration 00:00:00.000"
"CrowdResponse","info","RegDump","2022-10-18T15:05:35Z","@RegDump started"
"CrowdResponse","info","RegDump","2022-10-18T15:05:35Z","@RegDump stopped. Duration 00:00:00.360"
"CrowdResponse","info","RegDump","2022-10-18T15:05:35Z","@RegDump started"
"CrowdResponse","info","RegDump","2022-10-18T15:05:35Z","@RegDump stopped. Duration 00:00:00.000"
"CrowdResponse","info","RegFile","2022-10-18T15:05:35Z","@RegFile started"
"CrowdResponse","info","RegFile","2022-10-18T15:05:35Z","@RegFile stopped. Duration 00:00:00.000"
"CrowdResponse","info","RegFile","2022-10-18T15:05:35Z","@RegFile started"
"CrowdResponse","info","RegFile","2022-10-18T15:05:35Z","@RegFile stopped. Duration 00:00:00.000"
"CrowdResponse","info","RegFile","2022-10-18T15:05:35Z","@RegFile started"
"CrowdResponse","info","RegFile","2022-10-18T15:05:35Z","@RegFile stopped. Duration 00:00:00.000"
"CrowdResponse","info","Prefetch","2022-10-18T15:05:35Z","@Prefetch started"
"CrowdResponse","info","Prefetch","2022-10-18T15:05:36Z","@Prefetch stopped. Duration 00:00:00.234"
"CrowdResponse","info","Drivers","2022-10-18T15:05:36Z","@Drivers started"
"CrowdResponse","info","Drivers","2022-10-18T15:05:38Z","@Drivers stopped. Duration 00:00:02.219"
"CrowdResponse","info","SuperFetch","2022-10-18T15:05:38Z","@SuperFetch started"
"CrowdResponse","info","SuperFetch","2022-10-18T15:05:38Z","@SuperFetch stopped. Duration 00:00:00.047"
"CrowdResponse","info","Shim","2022-10-18T15:05:38Z","@Shim started"
"CrowdResponse","info","Shim","2022-10-18T15:05:38Z","@Shim stopped. Duration 00:00:00.000"
"CrowdResponse","info","Main","2022-10-18T15:05:38Z","Application Stop"
"CrowdResponse","info","Main","2022-10-18T15:05:38Z","Application Duration: 00:02:38.007"
"CrowdResponse","warning","PSList","2022-10-18T15:03:00Z","No details for PID 100. Possibly protected process.\n"
