system,pid,parentpid,priority,prioritystr,sessionid,ownersid,ownername,ownerdomain,cmdline,threadinjected,path,name,size,attrhex,attrstr,created,accessed,modified,companyname,filedescription,fileversion,internalname,legalcopyright,originalfilename,productname,productversion,cert_exists,cert_verified,cert_result,cert_comment,cert_signer,cert_type,md5,sha1,sha256,Machine,MachineStr,NumberOfSections,TimeDateStamp,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,CharacteristicsStr,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,MemAddressOfEntryPoint,BaseOfCode,BaseOfData,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubSystemVersion,MinorSubSystemVersion,Win32VersionValue,SizeOfImage,SizeOfHeaders,CheckSum,Subsystem,SubsystemStr,DllCharacteristics,DllCharacteristicsStr,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,peid,importcount,exportcount,anomalies,CodeEntropy
"CrowdResponse","0","","","","","","","","","error","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CrowdResponse","4","0","0","0","0","","","","","error","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CrowdResponse","724","644","128","HIGH_PRIORITY_CLASS","1","S-1-5-18","SYSTEM","NT AUTHORITY","winlogon.exe","FALSE","C:\Windows\System32\","winlogon.exe","906752","0x20","ARCHIVE","2022-10-12T02:46:03Z","2022-10-18T15:01:38Z","2022-10-12T02:46:03Z","Microsoft Corporation","Windows Logon Application","10.0.19041.1151 (WinBuild.160101.0800)","winlogon","&#169; Microsoft Corporation. All rights reserved.","WINLOGON.EXE.MUI","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1151","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","f597fa958fd63accc90cb469e7ddc2a5","0c8b6c1f8c1d248000192e2569735848051b3ce1","5d4d7c29121f22ef85f442df30c6046212de15958c1aa2649e2c0a4fa40dce41","0x8664","AMD64","7","1937-10-15T01:25:00Z","0","0xf0","0x22","EXECUTABLE_IMAGE|LARGE_ADDRESS_AWARE","0xe","0x14","0x96800","0x48800","0x0","0x37c20","0x140037c20","0x1000","","0x140000000","0x1000","0x200","0xa","0x0","0xa","0x0","0xa","0x0","0x0","0xe3000","0x400","0xe0102","0x2","WINDOWS_GUI","0xc160","DYNAMIC_BASE|NX_COMPAT|TERMINAL_SERVER_AWARE","0x80000","0xe000","0x100000","0x1000","0x0","Unknown: 4883ec28e87b0900004883c428e906000000cccccccccccc","469","","non_standard_build","78.806939"
"CrowdResponse","816","652","32","NORMAL_PRIORITY_CLASS","0","S-1-5-18","SYSTEM","NT AUTHORITY","C:\Windows\system32\lsass.exe","FALSE","C:\Windows\System32\","lsass.exe","60544","0x20","ARCHIVE","2022-10-12T02:46:03Z","2022-10-18T15:02:07Z","2022-10-12T02:46:03Z","Microsoft Corporation","Local Security Authority Process","10.0.19041.2130 (WinBuild.160101.0800)","lsass.exe","&#169; Microsoft Corporation. All rights reserved.","lsass.exe","Microsoft&#174; Windows&#174; Operating System","10.0.19041.2130","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows Publisher","Embedded","289d6a47b7692510e2fd3b51979a9fed","1754e7ee417e56c9c196b1dc7fbf663a43d15d16","0777fd312394ae1afeed0ad48ae2d7b5ed6e577117a4f40305eaeb4129233650","0x8664","AMD64","7","1935-01-15T19:23:12Z","0","0xf0","0x22","EXECUTABLE_IMAGE|LARGE_ADDRESS_AWARE","0xe","0x14","0x5200","0x7600","0x0","0x3ce0","0x140003ce0","0x1000","","0x140000000","0x1000","0x200","0xa","0x0","0xa","0x0","0xa","0x0","0x0","0x12000","0x400","0x1046a","0x2","WINDOWS_GUI","0xc160","DYNAMIC_BASE|NX_COMPAT|TERMINAL_SERVER_AWARE","0x80000","0xc000","0x100000","0x1000","0x0","Unknown: 4883ec28e8630000004883c428e95effffffcccccccccccc","111","4","zero_icons|non_standard_build|contain_eof_data","73.396449"
"CrowdResponse","932","796","32","NORMAL_PRIORITY_CLASS","0","S-1-5-18","SYSTEM","NT AUTHORITY","C:\Windows\system32\svchost.exe -k DcomLaunch -p","FALSE","C:\Windows\System32\","svchost.exe","55320","0x20","ARCHIVE","2022-08-05T09:27:14Z","2022-10-18T15:02:09Z","2022-08-05T09:27:14Z","Microsoft Corporation","Host Process for Windows Services","10.0.19041.1 (WinBuild.160101.0800)","svchost.exe","&#169; Microsoft Corporation. All rights reserved.","svchost.exe.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows Publisher","Embedded","b7f884c1b74a263f746ee12a5f7c9f6a","1bc5066ddf693fc034d6514618854e26a84fd0d1","add683a6910abbbf0e28b557fad0ba998166394932ae2aca069d9aa19ea8fe88","0x8664","AMD64","7","2036-11-16T10:28:07Z","0","0xf0","0x22","EXECUTABLE_IMAGE|LARGE_ADDRESS_AWARE","0xe","0x14","0x5c00","0x5800","0x0","0x4480","0x140004480","0x1000","","0x140000000","0x1000","0x200","0xa","0x0","0xa","0x0","0xa","0x0","0x0","0x10000","0x400","0x1d4bf","0x2","WINDOWS_GUI","0xc160","DYNAMIC_BASE|NX_COMPAT|TERMINAL_SERVER_AWARE","0x80000","0x4000","0x100000","0x1000","0x0","Unknown: 4883ec28e8870000004883c428e966ffffffcccccccccccc","125","","zero_icons|non_standard_build|contain_eof_data","74.068249"
"CrowdResponse","960","724","32","NORMAL_PRIORITY_CLASS","1","S-1-5-96-0-1","UMFD-1","Font Driver Host","""fontdrvhost.exe""","FALSE","C:\Windows\System32\","fontdrvhost.exe","827960","0x20","ARCHIVE","2022-10-12T02:46:03Z","2022-10-18T15:01:38Z","2022-10-12T02:46:03Z","Microsoft Corporation","Usermode Font Driver Host","10.0.19041.2075 (WinBuild.160101.0800)","fontdrvhost.exe","&#169; Microsoft Corporation. All rights reserved.","fontdrvhost.exe","Microsoft&#174; Windows&#174; Operating System","10.0.19041.2075","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","2d3fb67d7286b93377a5b3780e76231d","a35138ba1cb25dd593e0173a6972a3207af9138e","a361c525e9b5abf9cc705df2397c9b4bab5a698b7602540395a3e8557df4195c","0x8664","AMD64","6","2000-01-30T20:49:59Z","0","0xf0","0x22","EXECUTABLE_IMAGE|LARGE_ADDRESS_AWARE","0xe","0x14","0x9ec00","0x2c600","0x0","0x30d40","0x140030d40","0x1000","","0x140000000","0x1000","0x200","0xa","0x0","0xa","0x0","0xa","0x0","0x0","0xcf000","0x400","0xd43a5","0x2","WINDOWS_GUI","0xc160","DYNAMIC_BASE|NX_COMPAT|TERMINAL_SERVER_AWARE","0x80000","0x2000","0x100000","0x1000","0x0","Unknown: 4883ec28e80b0300004883c428e95efeffffcccccccccccc","149","","zero_icons|non_standard_build|contain_eof_data","80.919656"
"CrowdResponse","968","652","32","NORMAL_PRIORITY_CLASS","0","S-1-5-96-0-0","UMFD-0","Font Driver Host","""fontdrvhost.exe""","FALSE","C:\Windows\System32\","fontdrvhost.exe","827960","0x20","ARCHIVE","2022-10-12T02:46:03Z","2022-10-18T15:03:00Z","2022-10-12T02:46:03Z","Microsoft Corporation","Usermode Font Driver Host","10.0.19041.2075 (WinBuild.160101.0800)","fontdrvhost.exe","&#169; Microsoft Corporation. All rights reserved.","fontdrvhost.exe","Microsoft&#174; Windows&#174; Operating System","10.0.19041.2075","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Embedded","2d3fb67d7286b93377a5b3780e76231d","a35138ba1cb25dd593e0173a6972a3207af9138e","a361c525e9b5abf9cc705df2397c9b4bab5a698b7602540395a3e8557df4195c","0x8664","AMD64","6","2000-01-30T20:49:59Z","0","0xf0","0x22","EXECUTABLE_IMAGE|LARGE_ADDRESS_AWARE","0xe","0x14","0x9ec00","0x2c600","0x0","0x30d40","0x140030d40","0x1000","","0x140000000","0x1000","0x200","0xa","0x0","0xa","0x0","0xa","0x0","0x0","0xcf000","0x400","0xd43a5","0x2","WINDOWS_GUI","0xc160","DYNAMIC_BASE|NX_COMPAT|TERMINAL_SERVER_AWARE","0x80000","0x2000","0x100000","0x1000","0x0","Unknown: 4883ec28e80b0300004883c428e95efeffffcccccccccccc","149","","zero_icons|non_standard_build|contain_eof_data","80.919656"
"CrowdResponse","532","796","32","NORMAL_PRIORITY_CLASS","0","S-1-5-20","NETWORK SERVICE","NT AUTHORITY","C:\Windows\system32\svchost.exe -k RPCSS -p","FALSE","C:\Windows\System32\","svchost.exe","55320","0x20","ARCHIVE","2022-08-05T09:27:14Z","2022-10-18T15:03:00Z","2022-08-05T09:27:14Z","Microsoft Corporation","Host Process for Windows Services","10.0.19041.1 (WinBuild.160101.0800)","svchost.exe","&#169; Microsoft Corporation. All rights reserved.","svchost.exe.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows Publisher","Embedded","b7f884c1b74a263f746ee12a5f7c9f6a","1bc5066ddf693fc034d6514618854e26a84fd0d1","add683a6910abbbf0e28b557fad0ba998166394932ae2aca069d9aa19ea8fe88","0x8664","AMD64","7","2036-11-16T10:28:07Z","0","0xf0","0x22","EXECUTABLE_IMAGE|LARGE_ADDRESS_AWARE","0xe","0x14","0x5c00","0x5800","0x0","0x4480","0x140004480","0x1000","","0x140000000","0x1000","0x200","0xa","0x0","0xa","0x0","0xa","0x0","0x0","0x10000","0x400","0x1d4bf","0x2","WINDOWS_GUI","0xc160","DYNAMIC_BASE|NX_COMPAT|TERMINAL_SERVER_AWARE","0x80000","0x4000","0x100000","0x1000","0x0","Unknown: 4883ec28e8870000004883c428e966ffffffcccccccccccc","125","","zero_icons|non_standard_build|contain_eof_data","74.068249"
"CrowdResponse","664","796","32","NORMAL_PRIORITY_CLASS","0","S-1-5-18","SYSTEM","NT AUTHORITY","C:\Windows\system32\svchost.exe -k DcomLaunch -p -s LSM","FALSE","C:\Windows\System32\","svchost.exe","55320","0x20","ARCHIVE","2022-08-05T09:27:14Z","2022-10-18T15:03:00Z","2022-08-05T09:27:14Z","Microsoft Corporation","Host Process for Windows Services","10.0.19041.1 (WinBuild.160101.0800)","svchost.exe","&#169; Microsoft Corporation. All rights reserved.","svchost.exe.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows Publisher","Embedded","b7f884c1b74a263f746ee12a5f7c9f6a","1bc5066ddf693fc034d6514618854e26a84fd0d1","add683a6910abbbf0e28b557fad0ba998166394932ae2aca069d9aa19ea8fe88","0x8664","AMD64","7","2036-11-16T10:28:07Z","0","0xf0","0x22","EXECUTABLE_IMAGE|LARGE_ADDRESS_AWARE","0xe","0x14","0x5c00","0x5800","0x0","0x4480","0x140004480","0x1000","","0x140000000","0x1000","0x200","0xa","0x0","0xa","0x0","0xa","0x0","0x0","0x10000","0x400","0x1d4bf","0x2","WINDOWS_GUI","0xc160","DYNAMIC_BASE|NX_COMPAT|TERMINAL_SERVER_AWARE","0x80000","0x4000","0x100000","0x1000","0x0","Unknown: 4883ec28e8870000004883c428e966ffffffcccccccccccc","125","","zero_icons|non_standard_build|contain_eof_data","74.068249"
"CrowdResponse","1040","724","128","HIGH_PRIORITY_CLASS","1","S-1-5-18","SYSTEM","NT AUTHORITY","""LogonUI.exe"" /flags:0x2 /state0:0xa3b96855 /state1:0x41c64e6d","FALSE","C:\Windows\System32\","LogonUI.exe","13824","0x20","ARCHIVE","2019-12-07T09:08:19Z","2022-10-18T15:01:32Z","2019-12-07T09:08:19Z","Microsoft Corporation","Windows Logon User Interface Host","10.0.19041.1 (WinBuild.160101.0800)","logonui.exe","&#169; Microsoft Corporation. All rights reserved.","logonui.exe","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","893144fe49aa16124b5bd3034e79bbc6","fbf39a288fc46cbf0620cfd297395a8fb4fbcdad","cf01e46c146699f6c0e3dd447043f59bc9438dbbcb9563af6c60ebc6d82727f2","0x8664","AMD64","6","1936-04-06T08:35:30Z","0","0xf0","0x22","EXECUTABLE_IMAGE|LARGE_ADDRESS_AWARE","0xe","0x14","0x1200","0x2600","0x0","0xe40","0x140000e40","0x1000","","0x140000000","0x1000","0x200","0xa","0x0","0xa","0x0","0xa","0x0","0x0","0x8000","0x400","0x6f79","0x2","WINDOWS_GUI","0xc160","DYNAMIC_BASE|NX_COMPAT|TERMINAL_SERVER_AWARE","0x80000","0x2000","0x100000","0x1000","0x0","Unknown: 4883ec28e86b0200004883c428e97efdffffcccccccccccc","38","","zero_icons|non_standard_build","72.960027"
"CrowdResponse","1048","724","128","HIGH_PRIORITY_CLASS","1","S-1-5-90-0-1","DWM-1","Window Manager","""dwm.exe""","FALSE","C:\Windows\System32\","dwm.exe","94720","0x20","ARCHIVE","2022-08-05T09:27:14Z","2022-10-18T15:01:39Z","2022-08-05T09:27:14Z","Microsoft Corporation","Desktop Window Manager","10.0.19041.1 (WinBuild.160101.0800)","dwm.exe","&#169; Microsoft Corporation. All rights reserved.","dwm.exe.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","5c27608411832c5b39ba04e33d53536c","f92f8b7439ce1de4c297046ed1d3ff9f20bc97af","0ac827c9e35cdaa492ddd435079415805dcc276352112b040bcd34ef122cf565","0x8664","AMD64","7","2027-05-13T02:29:41Z","0","0xf0","0x22","EXECUTABLE_IMAGE|LARGE_ADDRESS_AWARE","0xe","0x14","0xc800","0xe800","0x0","0x2560","0x140002560","0x1000","","0x140000000","0x1000","0x200","0xa","0x0","0xa","0x0","0xa","0x0","0x0","0x1f000","0x400","0x18716","0x2","WINDOWS_GUI","0xc160","DYNAMIC_BASE|NX_COMPAT|TERMINAL_SERVER_AWARE","0x80000","0x2000","0x100000","0x1000","0x0","Unknown: 4883ec28e83b0800004883c428e96efeffffcccccccccccc","181","","zero_icons|non_standard_build","76.091799"
"CrowdResponse","1080","796","32","NORMAL_PRIORITY_CLASS","0","S-1-5-20","NETWORK SERVICE","NT AUTHORITY","C:\Windows\System32\svchost.exe -k NetworkService -s TermService","FALSE","C:\Windows\System32\","svchost.exe","55320","0x20","ARCHIVE","2022-08-05T09:27:14Z","2022-10-18T15:03:00Z","2022-08-05T09:27:14Z","Microsoft Corporation","Host Process for Windows Services","10.0.19041.1 (WinBuild.160101.0800)","svchost.exe","&#169; Microsoft Corporation. All rights reserved.","svchost.exe.mui","Microsoft&#174; Windows&#174; Operating System","10.0.19041.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows Publisher","Embedded","b7f884c1b74a263f746ee12a5f7c9f6a","1bc5066ddf693fc034d6514618854e26a84fd0d1","add683a6910abbbf0e28b557fad0ba998166394932ae2aca069d9aa19ea8fe88","0x8664","AMD64","7","2036-11-16T10:28:07Z","0","0xf0","0x22","EXECUTABLE_IMAGE|LARGE_ADDRESS_AWARE","0xe","0x14","0x5c00","0x5800","0x0","0x4480","0x140004480","0x1000","","0x140000000","0x1000","0x200","0xa","0x0","0xa","0x0","0xa","0x0","0x0","0x10000","0x400","0x1d4bf","0x2","WINDOWS_GUI","0xc160","DYNAMIC_BASE|NX_COMPAT|TERMINAL_SERVER_AWARE","0x80000","0x4000","0x100000","0x1000","0x0","Unknown: 4883ec28e8870000004883c428e966ffffffcccccccccccc","125","","zero_icons|non_standard_build|contain_eof_data","74.068249"
