CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2022-10-18 15:01:31.4476596,C:\Windows\System32\winevt\logs\Archive-Security-2022-09-13-13-10-05-824.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Archive-Security-2022-09-13-13-10-05-824.evtx,20975616,E81F2BE364D7697243DB4B623B974E051E2DDF9F,False,2022-09-13 13:10:05.8246988,2022-09-17 20:52:41.3084576,2022-10-15 11:30:05.6157374,00:00:00.0468762
2022-10-18 15:01:31.6195338,C:\Windows\System32\winevt\logs\Archive-Security-2022-09-14-07-37-57-371.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Archive-Security-2022-09-14-07-37-57-371.evtx,20975616,B4EA2F9A5C650391924A563BA6D7C3819F129EDE,False,2022-09-14 07:37:57.3715462,2022-09-14 07:37:57.4339731,2022-10-15 11:30:10.6487534,00:00:00.0312510
2022-10-18 15:01:31.7757830,C:\Windows\System32\winevt\logs\Archive-Security-2022-09-14-23-06-24-140.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Archive-Security-2022-09-14-23-06-24-140.evtx,20975616,07F5E56D2866A6BB73DB002C68C3C30F739D6B3E,False,2022-09-14 23:06:24.1404956,2022-09-14 23:06:24.2029358,2022-10-15 11:30:15.8540729,00:00:00.0781141
2022-10-18 15:01:32.0257842,C:\Windows\System32\winevt\logs\Archive-Security-2022-09-16-09-36-44-689.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Archive-Security-2022-09-16-09-36-44-689.evtx,20975616,ABAA84C12C2B138B426AE39A1D5C7F0A1E053EB6,False,2022-09-16 09:36:44.6899926,2022-09-16 09:36:44.7524429,2022-10-15 11:30:24.2445678,00:00:00.1718775
2022-10-18 15:01:32.2289128,C:\Windows\System32\winevt\logs\Archive-Security-2022-09-17-11-11-22-773.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Archive-Security-2022-09-17-11-11-22-773.evtx,20975616,76D338B68BCAAA322675E5A479A4C042B32237D2,False,2022-09-17 11:11:22.7736073,2022-09-17 11:11:22.8360546,2022-10-15 11:30:26.9008998,00:00:00.1093799
2022-10-18 15:01:32.4789098,C:\Windows\System32\winevt\logs\Archive-Security-2022-09-17-20-08-59-602.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Archive-Security-2022-09-17-20-08-59-602.evtx,20975616,FEAC0F98CCC31D2A11C087DE82A57F828FB47DDD,False,2022-09-17 20:08:59.6020879,2022-09-17 20:08:59.6958542,2022-10-15 11:30:29.5101403,00:00:00.1406245
2022-10-18 15:01:32.7289113,C:\Windows\System32\winevt\logs\Archive-Security-2022-09-18-04-40-18-235.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Archive-Security-2022-09-18-04-40-18-235.evtx,20975616,781C8CB44627DA094F1EE1AC97A878AA6A12E797,False,2022-09-18 04:40:18.2359562,2022-09-18 04:40:18.2984030,2022-10-15 11:30:32.1351078,00:00:00.0625012
2022-10-18 15:01:32.9320355,C:\Windows\System32\winevt\logs\Archive-Security-2022-09-19-16-55-00-065.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Archive-Security-2022-09-19-16-55-00-065.evtx,20975616,AD9FC978A6174C5E09593A9211917658D92E3E47,False,2022-09-19 16:55:00.0652076,2022-09-19 16:55:00.1276578,2022-10-15 11:30:34.7757357,00:00:00.0781190
2022-10-18 15:01:33.1195339,C:\Windows\System32\winevt\logs\Archive-Security-2022-09-20-18-09-44-980.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Archive-Security-2022-09-20-18-09-44-980.evtx,20975616,389FD9DC29796123C690CFEF49F2841847BF20D5,False,2022-09-20 18:09:44.9808727,2022-09-20 18:09:45.0746356,2022-10-15 11:30:37.4007652,00:00:00.0624972
2022-10-18 15:01:33.3226615,C:\Windows\System32\winevt\logs\Archive-Security-2022-09-21-14-44-51-037.evtx,C:\KAPE\TriageData_w10-example\C\Windows\System32\winevt\logs\Archive-Security-2022-09-21-14-44-51-037.evtx,20975616,8BF9A03559E5699D9B67E2AF836098537C35E91E,False,2022-09-21 14:44:51.0371323,2022-09-21 14:44:51.0995816,2022-10-15 11:30:40.0569992,00:00:00.0937526
